P/E,E/P,P/B,P/S,P/CF,L/A,NetDebt / EBITDA,EV / EBITDA,ROA,ROE,ROS,delta
8.46,11.82,-0.3,0.27,2.6,177.61,6.71,7.84,2.74,0.0,3.2,-7.668342420165675
5.87,17.04,-0.3,0.25,2.05,176.5,5.39,6.3,3.94,0.0,4.2,-31.44171779141104
-0.94,-106.01,0.33,0.29,2.83,43.52,,,0.0,-26.61,-30.47,153.73134328358208
-56.0,-1.79,0.86,0.63,3.78,49.83,,,0.0,-1.51,-1.12,56.94117647058823
13.32,7.51,1.23,0.84,3.59,46.07,0.89,3.34,5.02,10.09,6.32,26.236881559220393
5.13,19.51,1.32,1.01,4.53,27.54,0.14,3.92,17.42,30.34,19.65,31.828978622327785
7.15,13.99,1.57,1.13,5.11,30.63,-0.01,4.17,16.32,24.3,15.78,5.563063063063067
11.79,8.48,1.15,0.39,4.12,71.29,5.46,8.04,0.0,0.0,3.33,-30.864197530864203
-4.49,-22.27,0.78,0.24,2.86,77.5,5.13,6.36,0.0,-17.75,-5.37,-16.51785714285714
-1.63,-61.3,0.89,0.19,2.74,83.8,3.76,4.74,0.0,-39.76,-11.39,65.3048128342246
7.44,13.44,1.46,0.36,5.2,81.02,4.87,7.35,3.53,20.6,4.82,-5.279503105590056
51.98,1.92,1.41,0.3,4.25,83.14,4.53,6.67,0.48,2.67,0.57,-16.256830601092908
19.63,5.09,2.84,1.61,8.85,53.01,,,4.54,8.73,8.2,73.69230769230771
-21.83,-4.58,8.13,2.37,8.28,79.97,,,0.0,-13.63,-10.88,21.434898139946856
9.75,10.26,5.9,1.87,4.59,72.2,1.28,5.58,15.57,37.09,19.2,-14.733770970094817
5.06,19.78,3.42,1.61,5.18,61.42,1.4,5.59,24.91,60.96,31.9,0.5988023952095745
12.02,8.32,3.1,1.68,7.03,60.96,2.3,8.24,10.07,25.78,13.97,1.658163265306123
11.84,8.44,0.42,0.79,3.96,29.97,,,2.23,3.02,6.69,-15.488581637408727
8.71,11.48,0.35,0.64,3.46,32.66,,,2.52,3.47,7.32,21.672794117647065
9.41,10.62,0.42,0.74,4.81,34.56,2.04,5.52,2.76,3.9,7.82,18.2353829883668
7.6,13.15,0.46,0.81,4.11,33.81,1.32,4.33,3.95,5.71,10.63,-7.104523383593153
13.8,7.24,0.45,0.89,3.89,32.35,0.96,3.93,2.18,3.23,6.45,-26.478679504814306
11.18,8.94,1.58,,8.79,82.47,,,0.66,9.55,47.07,23.526306528242124
10.0,10.0,1.74,,7.6,93.78,,,0.71,13.19,52.62,60.626780626780615
9.23,10.84,2.26,,9.22,93.57,,,1.16,22.98,60.56,-5.995033699893582
9.58,10.44,1.96,,9.78,94.95,,,0.92,20.77,,8.745283018867923
12.97,7.71,2.17,,12.66,96.0,,,0.67,16.71,,-27.561377635117545
-14.52,-6.89,23.31,27.01,-55.16,94.62,,,0.0,-41.7,-186.02,1.1888111888111785
152.78,0.65,11.1,4.92,-70.68,92.9,16.41,39.72,0.42,4.01,3.22,2.2805805114028965
-8.87,-11.27,52.98,2.33,-51.08,98.65,9.57,21.66,0.0,-70.63,-26.25,7.229729729729728
161.91,0.62,5.61,1.9,27.57,88.93,5.07,11.79,0.38,4.15,1.17,-31.770636420919974
-13.88,-7.21,4.58,1.01,-11.28,91.06,6.17,11.12,0.0,-33.03,-7.3,-21.869227927595126
